id;tipo;descripcion;monto;nro_cuotas;fecha_vencimiento;estado
1;PAGAR;whoever greatly;16038.55;3926;2024-06-13;PAGADO
2;PAGAR;gadzooks hmph;16092.08;32707;2024-06-12;PAGADO
3;PAGAR;spat;26843.34;13886;2024-06-13;PAGADO
4;PAGAR;capital;19749.47;27512;2024-06-13;COBRADO
5;COBRAR;reinvigorate safe ah;16085.93;10979;2024-06-12;PAGADO
6;PAGAR;demotivate despite;9835.33;22921;2024-06-13;PAGADO
7;PAGAR;almost;28951.13;11786;2024-06-13;PAGADO
8;COBRAR;voluntarily;19910.28;23182;2024-06-13;PENDIENTE
9;COBRAR;heating harbour;25857.11;14478;2024-06-13;COBRADO
10;PAGAR;inasmuch;24211.12;9361;2024-06-13;PAGADO
