id;tipo;descripcion;monto;fecha
1;TRANSFERENCIA;exactly;10965.18;2024-06-13
2;CHEQUE;exalted fooey listening;4816.54;2024-06-13
3;TRANSFERENCIA;beside including;7430.52;2024-06-13
4;TRANSFERENCIA;athwart subcontract stravage;21056.99;2024-06-12
5;TRANSFERENCIA;via cup;13766.28;2024-06-13
6;TRANSFERENCIA;uh-huh;7323.28;2024-06-13
7;CHEQUE;however and submissive;28402.1;2024-06-13
8;EFECTIVO;uh-huh studio;22095.79;2024-06-13
9;CHEQUE;vacantly notwithstanding;8635.18;2024-06-12
10;CHEQUE;annually on;24301.78;2024-06-13
